1.90e+03,3.00e+04,4.00e+03,4.83e+04
1.90e+03,4.72e+04,6.10e+03,4.82e+04
1.90e+03,7.02e+04,9.80e+03,4.15e+04
1.90e+03,7.74e+04,3.52e+04,3.82e+04
1.90e+03,3.63e+04,5.94e+04,4.06e+04
1.90e+03,2.06e+04,4.17e+04,3.98e+04
1.91e+03,1.81e+04,1.90e+04,3.86e+04
1.91e+03,2.14e+04,1.30e+04,4.23e+04
1.91e+03,2.20e+04,8.30e+03,4.45e+04
1.91e+03,2.54e+04,9.10e+03,4.21e+04
1.91e+03,2.71e+04,7.40e+03,4.60e+04
1.91e+03,4.03e+04,8.00e+03,4.68e+04
1.91e+03,5.70e+04,1.23e+04,4.38e+04
1.91e+03,7.66e+04,1.95e+04,4.09e+04
1.91e+03,5.23e+04,4.57e+04,3.94e+04
1.92e+03,1.95e+04,5.11e+04,3.90e+04
1.92e+03,1.12e+04,2.97e+04,3.67e+04
1.92e+03,7.60e+03,1.58e+04,4.18e+04
1.92e+03,1.46e+04,9.70e+03,4.33e+04
1.92e+03,1.62e+04,1.01e+04,4.13e+04
1.92e+03,2.47e+04,8.60e+03,4.73e+04
